X	Y	Z
6744.2	10000.0	-3775.5
6753.6	10351.8	-3763.5
6763.0	10664.2	-3757.5
6772.4	10976.6	-3763.5
6781.8	11288.9	-3756
6791.1	11601.3	-3753
6800.5	11913.6	-3768
6809.9	12226.0	-3787.5
6819.3	12538.4	-3724.5
6828.7	12850.7	-3709.5
6838.0	13163.1	-3675
6847.4	13475.4	-3615
6856.8	13787.8	-3610.5
6866.2	14100.2	-3624
6875.6	14412.5	-3592.5
6884.9	14724.9	-3588
6894.3	15037.2	-3616.5
6903.7	15349.6	-3661.5
6913.1	15662.0	-3685.5
6922.5	15974.3	-3703.5
6931.8	16286.7	-3696
6941.2	16599.0	-3723
6950.6	16911.4	-3732
6960.0	17223.8	-3754.5
6969.4	17500.0	-3772.5
7993.7	10000.0	-3763.5
8003.1	10314.3	-3765
8012.4	10626.7	-3756
8021.8	10939.0	-3750
8031.2	11251.4	-3756
8040.6	11563.8	-3742.5
8050.0	11876.1	-3712.5
8059.3	12188.5	-3688.5
8068.7	12500.8	-3679.5
8078.1	12813.2	-3628.5
8087.5	13125.6	-3604.5
8096.9	13437.9	-3589.5
8106.2	13750.3	-3598.5
8115.6	14062.6	-3583.5
8125.0	14375.0	-3585
8134.4	14687.4	-3583.5
8143.8	14999.7	-3592.5
8153.1	15312.1	-3627
8162.5	15624.4	-3664.5
8171.9	15936.8	-3706.5
8181.3	16249.2	-3703.5
8190.7	16561.5	-3691.5
8200.0	16873.9	-3732
8209.4	17186.2	-3732
8218.8	17500.0	-3745.5
9243.1	10000.0	-3769.5
9252.5	10276.8	-3790.5
9261.9	10589.2	-3786
9271.3	10901.5	-3780
9280.6	11213.9	-3757.5
9290.0	11526.2	-3727.5
9299.4	11838.6	-3727.5
9308.8	12151.0	-3705
9318.2	12463.3	-3712.5
9327.5	12775.7	-3703.5
9336.9	13088.0	-3682.5
9346.3	13400.4	-3640.5
9355.7	13712.8	-3634.5
9365.1	14025.1	-3663
9374.4	14337.5	-3676.5
9383.8	14649.8	-3675
9393.2	14962.2	-3681
9402.6	15274.6	-3691.5
9412.0	15586.9	-3694.5
9421.3	15899.3	-3705
9430.7	16211.6	-3729
9440.1	16524.0	-3727.5
9449.5	16836.4	-3711
9458.9	17148.7	-3733.5
9468.2	17500.0	-3732
5000.0	13219.4	-3744
5276.2	13210.0	-3745.5
5588.6	13200.6	-3738
5901.0	13191.2	-3741
6213.3	13181.8	-3745.5
6525.7	13172.5	-3705
7150.4	13153.7	-3637.5
7462.8	13144.3	-3615
7775.1	13134.9	-3607.5
8399.8	13116.2	-3606
8712.2	13106.8	-3616.5
9024.6	13097.4	-3654
9649.3	13078.7	-3709.5
9961.6	13069.3	-3726
10274.0	13059.9	-3747
10625.0	13050.5	-3745.5
5000.0	14468.8	-3708
5313.8	14459.4	-3705
5626.1	14450.0	-3711
5938.5	14440.7	-3697.5
6250.8	14431.3	-3693
6563.2	14421.9	-3625.5
7187.9	14403.1	-3589.5
7500.3	14393.8	-3565.5
7812.6	14384.4	-3564
8437.4	14365.6	-3591
8749.7	14356.2	-3582
9062.1	14346.9	-3646.5
9686.8	14328.1	-3685.5
9999.2	14318.7	-3700.5
10311.5	14309.3	-3717
10625.0	14300.0	-3733.5
5000.0	15718.2	-3724.5
5351.3	15708.9	-3729
5663.6	15699.5	-3732
5976.0	15690.1	-3723
6288.4	15680.7	-3705
6600.7	15671.3	-3697.5
7225.4	15652.6	-3627
7537.8	15643.2	-3631.5
7850.2	15633.8	-3639
8474.9	15615.1	-3687
8787.2	15605.7	-3675
9099.6	15596.3	-3685.5
9724.3	15577.5	-3712.5
10036.7	15568.2	-3724.5
10349.0	15558.8	-3712.5
10625.0	15549.4	-3685.5
